	freebase_ids	nominations
406	/m/02qmdqm	César Award for Best Director,César Award for Best Male Revelation,National Society of Film Critics Award for Best Supporting Actor,César Award for Best Original Screenplay,European Film Award – People's Choice Award for Best European Film,César Award for Best Film,César Award for Best Actor,César Award for Best Actor,César Award for Best Actor
407	/m/02wd48	Golden Globe Award for Best Actor – Television Series Musical or Comedy,Primetime Emmy Award for Outstanding Writing for a Comedy Series,Primetime Emmy Award for Outstanding Writing for a Comedy Series,Gemini Award for Best Performance by an Actor in a Continuing Leading Dramatic Role,Daytime Emmy Award for Outstanding Children's Special
408	/m/02rbgt	Academy Award for Best Supporting Actor
409	/m/03bdm4	Academy Award for Best Supporting Actor
410	/m/031zkw	Tony Award for Best Actor in a Musical
411	/m/08sz0k	César Award for Best Supporting Actor,César Award for Best Supporting Actor
412	/m/02wr6r	Academy Award for Best Supporting Actor,Academy Award for Best Supporting Actor
413	/m/0hwqg	Academy Award for Best Actor,BAFTA Award for Best Actor in a Leading Role,BAFTA Award for Best Actor in a Leading Role
414	/m/015c4g	Academy Award for Best Actor,Academy Award for Best Actor,Academy Award for Best Actor,Academy Award for Best Supporting Actor,Academy Award for Best Supporting Actor,Academy Award for Best Supporting Actor,Academy Award for Best Supporting Actor
415	/m/0dzlk	Golden Raspberry Award for Worst Actress,Golden Raspberry Award for Worst Actress,Grammy Award for Album of the Year,Grammy Award for Best Female Pop Vocal Performance,Grammy Award for Best Female Pop Vocal Performance,Grammy Award for Best Female Pop Vocal Performance,Grammy Award for Best Female Pop Vocal Performance,Grammy Award for Best Female Pop Vocal Performance,Grammy Award for Best Music Video,Grammy Award for Best Music Film
416	/m/030b93	Academy Award for Best Supporting Actress,Academy Award for Best Live Action Short Film
417	/m/079q2l	Academy Award for Best Supporting Actress,Academy Award for Best Supporting Actress
418	/m/069d8x	Academy Award for Best Supporting Actor
419	/m/02qh53w	Academy Award for Best Picture
420	/m/05v_98	Tony Award for Best Actor in a Play
421	/m/082_v4	NAACP Image Award for Outstanding Actor in a Motion Picture
422	/m/04ynfp	Academy Award for Best Supporting Actor,Golden Globe Award for Best Supporting Actor – Motion Picture,British Academy Television Award for Best Actor,British Academy Television Award for Best Actor,BAFTA Award for Most Promising Newcomer to Leading Film Roles
423	/m/03jyqb	Tony Award for Best Featured Actor in a Play,Tony Award for Best Featured Actor in a Play
424	/m/0h7z56	European Film Award – People's Choice Award for Best European Film
425	/m/04jxzf	Academy Award for Best Supporting Actor
426	/m/05l9xr	Jameson People's Choice Award for Best Actor
427	/m/01gvvn	Academy Award for Best Actress,Tony Award for Best Actress in a Musical
428	/m/02vmmz	Golden Raspberry Award for Worst New Star,Golden Raspberry Award for Worst Actress
429	/m/04mdbq	Jameson People's Choice Award for Best Actress
430	/m/011_nf	Academy Award for Best Actor
